Ticker,,beta_mkt,beta_sector
2000-04-03,MSFT,0.8411837481704647,
2000-04-03,AAPL,0.8411837481704647,
2000-04-03,XOM,0.36840197983948403,
2000-04-03,JPM,0.9089568793034823,
2000-04-03,JNJ,0.6572721837918302,
2000-04-03,CAT,0.7112519182221826,
2000-04-03,PG,0.7505324173708422,
2000-04-03,AMZN,0.9381817559872802,
2000-04-03,ECL,0.5567846336660569,
2000-04-03,NEE,0.4917070684437012,
2000-04-04,MSFT,0.7997596632012031,
2000-04-04,AAPL,0.7997596632012031,
2000-04-04,XOM,0.35952343544405907,
2000-04-04,JPM,0.904149245088896,
2000-04-04,JNJ,0.6680020327737077,
2000-04-04,CAT,0.7150204293313505,
2000-04-04,PG,0.737253919036799,
2000-04-04,AMZN,0.9577313298335605,
2000-04-04,ECL,0.59137345426323,
2000-04-04,NEE,0.4572896123720576,
2000-04-05,MSFT,0.7955579367118705,
2000-04-05,AAPL,0.7955579367118705,
2000-04-05,XOM,0.3714733665513579,
2000-04-05,JPM,0.9058086304189038,
2000-04-05,JNJ,0.669334384714375,
2000-04-05,CAT,0.7148054819809208,
2000-04-05,PG,0.7405667019610471,
2000-04-05,AMZN,0.9545859477878901,
2000-04-05,ECL,0.590914454282926,
2000-04-05,NEE,0.44940896209377584,
2000-04-06,MSFT,0.7751153036561083,
2000-04-06,AAPL,0.7751153036561083,
2000-04-06,XOM,0.42704229754506196,
2000-04-06,JPM,0.9674170941362981,
2000-04-06,JNJ,0.6900481607913225,
2000-04-06,CAT,0.742396684086239,
2000-04-06,PG,0.7634104468584437,
2000-04-06,AMZN,0.9842866083424333,
2000-04-06,ECL,0.627159622574322,
2000-04-06,NEE,0.45634245369853405,
2000-04-07,MSFT,0.9099914954841886,
2000-04-07,AAPL,0.9099914954841886,
2000-04-07,XOM,0.4812780820956919,
2000-04-07,JPM,1.125116617640137,
2000-04-07,JNJ,0.8069354121176363,
2000-04-07,CAT,0.7659079318439744,
2000-04-07,PG,0.66934093751988,
2000-04-07,AMZN,1.0214058470360325,
2000-04-07,ECL,0.7631829446703005,
2000-04-07,NEE,0.529521226558831,
2000-04-10,MSFT,0.9150037888641737,
2000-04-10,AAPL,0.9150037888641737,
2000-04-10,XOM,0.48783635785178303,
2000-04-10,JPM,1.118473930992525,
2000-04-10,JNJ,0.7875759925835094,
2000-04-10,CAT,0.764729645401045,
2000-04-10,PG,0.6640047636929113,
2000-04-10,AMZN,1.0135380818426034,
2000-04-10,ECL,0.753371210340122,
2000-04-10,NEE,0.52924603805844,
2000-04-11,MSFT,0.9036560358131395,
2000-04-11,AAPL,0.9036560358131395,
2000-04-11,XOM,0.4890365666821572,
2000-04-11,JPM,1.110356727177847,
2000-04-11,JNJ,0.7691349964638011,
2000-04-11,CAT,0.7574560335681703,
2000-04-11,PG,0.6670435055538826,
2000-04-11,AMZN,1.0170802729733701,
2000-04-11,ECL,0.7451123662363766,
2000-04-11,NEE,0.5174504880118207,
2000-04-12,MSFT,0.9882029280981084,
2000-04-12,AAPL,0.9882029280981084,
2000-04-12,XOM,0.44601888193235145,
2000-04-12,JPM,1.065526735591889,
2000-04-12,JNJ,0.7554718852945895,
2000-04-12,CAT,0.7482630511751865,
2000-04-12,PG,0.6149670732601211,
2000-04-12,AMZN,0.9686779871488913,
2000-04-12,ECL,0.6445770935420373,
2000-04-12,NEE,0.4684028660109746,
2000-04-13,MSFT,0.9982993025466813,
2000-04-13,AAPL,0.9982993025466813,
2000-04-13,XOM,0.4327226117727671,
2000-04-13,JPM,1.0643092675861896,
2000-04-13,JNJ,0.7497196696375477,
2000-04-13,CAT,0.7271376100551233,
2000-04-13,PG,0.6148663075161862,
2000-04-13,AMZN,0.9818994777013362,
2000-04-13,ECL,0.6653242999567985,
2000-04-13,NEE,0.4776765165166843,
2000-04-14,MSFT,0.9760718648126832,
2000-04-14,AAPL,0.9760718648126832,
2000-04-14,XOM,0.43523546138925745,
2000-04-14,JPM,1.1273796168282888,
2000-04-14,JNJ,0.8176506453846514,
2000-04-14,CAT,0.8217289921410985,
2000-04-14,PG,0.6629157396171671,
2000-04-14,AMZN,1.0722667852754313,
2000-04-14,ECL,0.7279541677070201,
2000-04-14,NEE,0.5119292077388832,
2000-04-17,MSFT,1.019801317503019,
2000-04-17,AAPL,1.019801317503019,
2000-04-17,XOM,0.3634364634430714,
2000-04-17,JPM,1.0561158611371602,
2000-04-17,JNJ,0.7769634427090947,
2000-04-17,CAT,0.814920475660706,
2000-04-17,PG,0.670622875346708,
2000-04-17,AMZN,1.0026430734169653,
2000-04-17,ECL,0.6774410351661685,
2000-04-17,NEE,0.4451567087264052,
2000-04-18,MSFT,1.0642049200447452,
2000-04-18,AAPL,1.0642049200447452,
2000-04-18,XOM,0.3597087223224631,
2000-04-18,JPM,1.0778360246578813,
2000-04-18,JNJ,0.7803749464297752,
2000-04-18,CAT,0.7943773748229298,
2000-04-18,PG,0.6542576911384433,
2000-04-18,AMZN,1.0000411862642444,
2000-04-18,ECL,0.6386068363409932,
2000-04-18,NEE,0.4334221197900437,
2000-04-19,MSFT,1.0933534534785798,
2000-04-19,AAPL,1.0933534534785798,
2000-04-19,XOM,0.3516944229353871,
2000-04-19,JPM,1.0777014325152798,
2000-04-19,JNJ,0.7677642047028073,
2000-04-19,CAT,0.7934293227239503,
2000-04-19,PG,0.642570457561331,
2000-04-19,AMZN,0.993143814730604,
2000-04-19,ECL,0.6289150582016451,
2000-04-19,NEE,0.435912174302608,
2000-04-20,MSFT,1.090190468408111,
2000-04-20,AAPL,1.090190468408111,
2000-04-20,XOM,0.3549642501102274,
2000-04-20,JPM,1.0795755060528458,
2000-04-20,JNJ,0.768295001724585,
2000-04-20,CAT,0.7931922991097606,
2000-04-20,PG,0.6405423564735215,
2000-04-20,AMZN,0.9929742451229218,
2000-04-20,ECL,0.6356652718299054,
2000-04-20,NEE,0.4400740632653915,
2000-04-24,MSFT,1.099214443996677,
2000-04-24,AAPL,1.099214443996677,
2000-04-24,XOM,0.30548925259420495,
2000-04-24,JPM,1.0760742901723115,
2000-04-24,JNJ,0.7602646956591832,
2000-04-24,CAT,0.7770079334127511,
2000-04-24,PG,0.6024053188518782,
2000-04-24,AMZN,0.9646986568862099,
2000-04-24,ECL,0.6180696474065553,
2000-04-24,NEE,0.41859456778980525,
2000-04-25,MSFT,1.1203357876635032,
2000-04-25,AAPL,1.1203357876635032,
2000-04-25,XOM,0.28468402697835327,
2000-04-25,JPM,1.0460872627248121,
2000-04-25,JNJ,0.7495834370301658,
2000-04-25,CAT,0.8250293561471687,
2000-04-25,PG,0.5504662635724112,
2000-04-25,AMZN,0.9203189727344446,
2000-04-25,ECL,0.583242992190738,
2000-04-25,NEE,0.45818367676036503,
2000-04-26,MSFT,1.1136259329043936,
2000-04-26,AAPL,1.1136259329043936,
2000-04-26,XOM,0.268934962381666,
2000-04-26,JPM,1.0715922270993292,
2000-04-26,JNJ,0.7384144439483581,
2000-04-26,CAT,0.8351370798731066,
2000-04-26,PG,0.5596915597698665,
2000-04-26,AMZN,0.9211416963118672,
2000-04-26,ECL,0.5916985170391937,
2000-04-26,NEE,0.4560729498842048,
2000-04-27,MSFT,1.1050140665605022,
2000-04-27,AAPL,1.1050140665605022,
2000-04-27,XOM,0.261069787826949,
2000-04-27,JPM,1.0788262593856897,
2000-04-27,JNJ,0.7384798468424436,
2000-04-27,CAT,0.8365155924330306,
2000-04-27,PG,0.5644228292131063,
2000-04-27,AMZN,0.9250758731435353,
2000-04-27,ECL,0.5939393580396181,
2000-04-27,NEE,0.45931013377224894,
2000-04-28,MSFT,1.0981257467565464,
2000-04-28,AAPL,1.0981257467565464,
2000-04-28,XOM,0.264043987759283,
2000-04-28,JPM,1.0656682570705982,
2000-04-28,JNJ,0.7389721498148485,
2000-04-28,CAT,0.8356103716199449,
2000-04-28,PG,0.5909839243927411,
2000-04-28,AMZN,0.9142490311676881,
2000-04-28,ECL,0.5938924718330495,
2000-04-28,NEE,0.4726975115136945,
2000-05-01,MSFT,1.0933917586324877,
2000-05-01,AAPL,1.0933917586324877,
2000-05-01,XOM,0.25035021429531723,
2000-05-01,JPM,1.0421951213940837,
2000-05-01,JNJ,0.7690839244480879,
2000-05-01,CAT,0.8668308878584972,
2000-05-01,PG,0.5900322033629323,
2000-05-01,AMZN,0.9516135238966594,
2000-05-01,ECL,0.6181436555439184,
2000-05-01,NEE,0.4211752335645466,
2000-05-02,MSFT,1.0858066257260397,
2000-05-02,AAPL,1.0858066257260397,
2000-05-02,XOM,0.23318024416057181,
2000-05-02,JPM,1.0323080443472765,
2000-05-02,JNJ,0.770793977297197,
2000-05-02,CAT,0.8685162465609799,
2000-05-02,PG,0.5807331297540794,
